iterations,depth,ndcg@20,model_file
1000,12,0.587131737087939,iters1000_depth12.cbm
1000,10,0.5871182212220553,iters1000_depth10.cbm
800,12,0.5870838118784424,iters800_depth12.cbm
1000,8,0.5870212126607922,iters1000_depth8.cbm
800,10,0.5869540275810378,iters800_depth10.cbm
600,12,0.5869287178635954,iters600_depth12.cbm
400,10,0.5858592296678747,iters400_depth10.cbm
800,8,0.5858161137201838,iters800_depth8.cbm
400,12,0.5857231635880108,iters400_depth12.cbm
600,10,0.5857129333037386,iters600_depth10.cbm
500,10,0.5856647342732633,iters500_depth10.cbm
500,12,0.5856178184627906,iters500_depth12.cbm
1000,6,0.5853518481539158,iters1000_depth6.cbm
300,12,0.5851975214409194,iters300_depth12.cbm
600,8,0.5846724524696344,iters600_depth8.cbm
300,10,0.5843825979655528,iters300_depth10.cbm
500,8,0.584199727909498,iters500_depth8.cbm
200,12,0.5841990438029628,iters200_depth12.cbm
400,8,0.5840858451322213,iters400_depth8.cbm
1000,5,0.5840484818508669,iters1000_depth5.cbm
800,6,0.583744980000632,iters800_depth6.cbm
600,6,0.5829524966838554,iters600_depth6.cbm
500,6,0.5800092509901137,iters500_depth6.cbm
1000,4,0.5783462224776268,iters1000_depth4.cbm
800,5,0.5745393404672228,iters800_depth5.cbm
300,8,0.5718119595481513,iters300_depth8.cbm
200,10,0.5705365449127842,iters200_depth10.cbm
800,4,0.5660287754184031,iters800_depth4.cbm
600,5,0.5639727310015265,iters600_depth5.cbm
400,6,0.5582491822205028,iters400_depth6.cbm
500,5,0.5480738641411373,iters500_depth5.cbm
200,8,0.5457854667938337,iters200_depth8.cbm
300,6,0.5380292589097508,iters300_depth6.cbm
600,4,0.535671656898201,iters600_depth4.cbm
100,12,0.5348707346662702,iters100_depth12.cbm
400,5,0.5300056805831035,iters400_depth5.cbm
1000,3,0.5209782850949014,iters1000_depth3.cbm
500,4,0.519557392989099,iters500_depth4.cbm
200,6,0.5146661062022568,iters200_depth6.cbm
100,10,0.5129089037145637,iters100_depth10.cbm
800,3,0.5108162307032242,iters800_depth3.cbm
300,5,0.5068152926868059,iters300_depth5.cbm
400,4,0.5067258798025541,iters400_depth4.cbm
50,12,0.504736428331277,iters50_depth12.cbm
600,3,0.5037573641712986,iters600_depth3.cbm
100,8,0.500736127530047,iters100_depth8.cbm
50,10,0.4993908291227739,iters50_depth10.cbm
500,3,0.48457570476419104,iters500_depth3.cbm
300,4,0.48060519948237834,iters300_depth4.cbm
50,8,0.4702961160567357,iters50_depth8.cbm
200,5,0.46270978002688024,iters200_depth5.cbm
400,3,0.4486031784897969,iters400_depth3.cbm
1000,2,0.4197139658931011,iters1000_depth2.cbm
100,6,0.41531890087525125,iters100_depth6.cbm
800,2,0.3882195361616336,iters800_depth2.cbm
200,4,0.38746385529317495,iters200_depth4.cbm
300,3,0.38443153050624324,iters300_depth3.cbm
200,3,0.3810777321496465,iters200_depth3.cbm
100,5,0.37645393724629805,iters100_depth5.cbm
600,2,0.37520676318456986,iters600_depth2.cbm
100,4,0.3751434482558635,iters100_depth4.cbm
500,2,0.3699949205154613,iters500_depth2.cbm
400,2,0.3654391699755755,iters400_depth2.cbm
50,6,0.3642630241848196,iters50_depth6.cbm
300,2,0.35648113950027066,iters300_depth2.cbm
50,5,0.35509513192828407,iters50_depth5.cbm
100,3,0.3466572028451027,iters100_depth3.cbm
50,4,0.3404648818195065,iters50_depth4.cbm
200,2,0.328005254322687,iters200_depth2.cbm
50,3,0.32475745506127746,iters50_depth3.cbm
800,1,0.3182895080307309,iters800_depth1.cbm
500,1,0.3156587958765648,iters500_depth1.cbm
100,2,0.3132128404902092,iters100_depth2.cbm
1000,1,0.3115139006555497,iters1000_depth1.cbm
600,1,0.3084573274936719,iters600_depth1.cbm
200,1,0.3002209533535016,iters200_depth1.cbm
50,2,0.290995963817183,iters50_depth2.cbm
400,1,0.28935882696918913,iters400_depth1.cbm
300,1,0.2843117216115628,iters300_depth1.cbm
100,1,0.24218948726443812,iters100_depth1.cbm
50,1,0.24218948726443812,iters50_depth1.cbm
