Enzyme1,Enzyme2,Percent_Similarity
4,18,28.400597907324364
4,39,28.550074738415542
4,9,28.699551569506728
4,62,27.802690582959645
4,7,93.72197309417041
4,37,24.962630792227205
4,71,24.51420029895366
4,57,27.95216741405082
4,47,24.663677130044842
4,76,26.606875934230196
4,16,29.596412556053814
4,28,30.94170403587444
4,42,26.905829596412556
4,27,30.343796711509718
4,49,27.50373692077728
4,25,27.802690582959645
4,44,21.225710014947683
4,70,27.50373692077728
4,58,28.699551569506728
4,12,29.74588938714499
4,33,30.343796711509718
4,73,23.766816143497756
4,60,28.101644245142005
4,64,31.2406576980568
4,68,30.493273542600896
4,38,26.756352765321374
4,30,30.642750373692078
4,2,30.642750373692078
4,53,28.400597907324364
4,22,27.95216741405082
4,3,27.05530642750374
4,24,30.94170403587444
4,21,25.85949177877429
4,61,26.606875934230196
4,72,27.204783258594915
4,15,27.204783258594915
4,52,27.95216741405082
18,4,28.400597907324364
18,39,72.6457399103139
18,9,36.173393124065775
18,62,37.5186846038864
18,7,25.85949177877429
18,37,63.97608370702541
18,71,30.493273542600896
18,57,36.47234678624813
18,47,63.67713004484305
18,76,34.08071748878923
18,16,35.57548579970104
18,28,35.874439461883405
18,42,33.6322869955157
18,27,34.08071748878923
18,49,74.14050822122572
18,25,71.74887892376681
18,44,86.39760837070254
18,70,29.74588938714499
18,58,94.02092675635276
18,12,34.23019431988042
18,33,34.379671150971596
18,73,63.07922272047832
18,60,30.194319880418536
18,64,34.97757847533632
18,68,35.42600896860987
18,38,73.99103139013454
18,30,35.1270553064275
18,2,35.276532137518686
18,53,29.596412556053814
18,22,35.276532137518686
18,3,32.13751868460389
18,24,35.1270553064275
18,21,73.24364723467862
18,61,58.744394618834086
18,72,31.988041853512705
18,15,34.52914798206278
18,52,68.60986547085201
39,4,28.550074738415542
39,18,72.6457399103139
39,9,35.874439461883405
39,62,38.41554559043348
39,7,26.00896860986547
39,37,62.4813153961136
39,71,29.297458893871447
39,57,35.57548579970104
39,47,63.22869955156951
39,76,35.42600896860987
39,16,38.2660687593423
39,28,37.66816143497758
39,42,34.97757847533632
39,27,34.52914798206278
39,49,80.86696562032884
39,25,69.05829596412556
39,44,64.12556053811659
39,70,31.2406576980568
39,58,71.00149476831092
39,12,35.1270553064275
39,33,37.219730941704036
39,73,62.18236173393124
39,60,30.343796711509718
39,64,37.66816143497758
39,68,38.11659192825112
39,38,70.85201793721974
39,30,37.96711509715994
39,2,38.11659192825112
39,53,30.642750373692078
39,22,35.42600896860987
39,3,33.03437967115097
39,24,37.369207772795214
39,21,69.80568011958147
39,61,59.04334828101644
39,72,32.73542600896861
39,15,35.72496263079223
39,52,66.06875934230195
9,4,28.699551569506728
9,18,36.173393124065775
9,39,35.874439461883405
9,62,72.34678624813155
9,7,26.45739910313901
9,37,35.72496263079223
9,71,39.76083707025411
9,57,88.34080717488789
9,47,35.57548579970104
9,76,43.34828101644245
9,16,47.53363228699551
9,28,46.63677130044843
9,42,42.45142002989537
9,27,48.729446935724965
9,49,35.276532137518686
9,25,35.276532137518686
9,44,27.95216741405082
9,70,32.884902840059794
9,58,35.57548579970104
9,12,42.89985052316891
9,33,47.6831091180867
9,73,35.57548579970104
9,60,33.03437967115097
9,64,46.93572496263079
9,68,46.93572496263079
9,38,37.07025411061286
9,30,46.93572496263079
9,2,47.384155455904335
9,53,32.28699551569507
9,22,48.13153961136024
9,3,42.152466367713004
9,24,47.08520179372198
9,21,35.42600896860987
9,61,36.771300448430495
9,72,33.33333333333333
9,15,42.89985052316891
9,52,34.82810164424514
62,4,27.802690582959645
62,18,37.5186846038864
62,39,38.41554559043348
62,9,72.34678624813155
62,7,25.85949177877429
62,37,36.62182361733931
62,71,38.86397608370702
62,57,70.254110612855
62,47,36.771300448430495
62,76,43.19880418535127
62,16,47.832585949177876
62,28,47.23467862481316
62,42,44.843049327354265
62,27,47.384155455904335
62,49,38.11659192825112
62,25,37.96711509715994
62,44,29.446935724962632
62,70,33.18385650224215
62,58,36.771300448430495
62,12,43.04932735426009
62,33,48.13153961136024
62,73,35.1270553064275
62,60,32.884902840059794
62,64,47.832585949177876
62,68,48.57997010463378
62,38,37.5186846038864
62,30,48.13153961136024
62,2,48.4304932735426
62,53,32.884902840059794
62,22,46.63677130044843
62,3,42.00298953662182
62,24,47.08520179372198
62,21,36.62182361733931
62,61,36.92077727952167
62,72,34.08071748878923
62,15,44.843049327354265
62,52,35.72496263079223
7,4,93.72197309417041
7,18,25.85949177877429
7,39,26.00896860986547
7,9,26.45739910313901
7,62,25.85949177877429
7,37,22.57100149476831
7,71,23.766816143497756
7,57,25.56053811659193
7,47,22.421524663677133
7,76,24.364723467862483
7,16,27.802690582959645
7,28,28.84902840059791
7,42,25.26158445440957
7,27,28.251121076233183
7,49,25.26158445440957
7,25,25.56053811659193
7,44,20.92675635276532
7,70,25.710014947683106
7,58,26.00896860986547
7,12,27.802690582959645
7,33,28.550074738415542
7,73,21.37518684603886
7,60,26.15844544095665
7,64,29.297458893871447
7,68,28.550074738415542
7,38,24.2152466367713
7,30,28.699551569506728
7,2,28.699551569506728
7,53,26.00896860986547
7,22,26.00896860986547
7,3,25.112107623318387
7,24,29.14798206278027
7,21,25.112107623318387
7,61,24.51420029895366
7,72,24.962630792227205
7,15,25.56053811659193
7,52,25.56053811659193
37,4,24.962630792227205
37,18,63.97608370702541
37,39,62.4813153961136
37,9,35.72496263079223
37,62,36.62182361733931
37,7,22.57100149476831
37,71,31.09118086696562
37,57,36.02391629297459
37,47,81.31539611360239
37,76,34.23019431988042
37,16,37.07025411061286
37,28,36.02391629297459
37,42,32.28699551569507
37,27,35.42600896860987
37,49,63.82660687593423
37,25,62.03288490284006
37,44,56.80119581464873
37,70,30.94170403587444
37,58,63.97608370702541
37,12,34.379671150971596
37,33,35.874439461883405
37,73,83.40807174887892
37,60,30.04484304932735
37,64,36.771300448430495
37,68,37.369207772795214
37,38,65.6203288490284
37,30,37.219730941704036
37,2,36.92077727952167
37,53,30.04484304932735
37,22,35.72496263079223
37,3,33.18385650224215
37,24,36.771300448430495
37,21,61.88340807174888
37,61,72.6457399103139
37,72,31.09118086696562
37,15,33.78176382660688
37,52,62.18236173393124
71,4,24.51420029895366
71,18,30.493273542600896
71,39,29.297458893871447
71,9,39.76083707025411
71,62,38.86397608370702
71,7,23.766816143497756
71,37,31.09118086696562
71,57,38.41554559043348
71,47,30.194319880418536
71,76,40.20926756352765
71,16,39.01345291479821
71,28,36.771300448430495
71,42,36.32286995515695
71,27,37.66816143497758
71,49,29.14798206278027
71,25,29.74588938714499
71,44,27.95216741405082
71,70,26.45739910313901
71,58,30.493273542600896
71,12,43.946188340807176
71,33,38.86397608370702
71,73,31.2406576980568
71,60,27.204783258594915
71,64,39.46188340807175
71,68,38.86397608370702
71,38,30.792227204783256
71,30,39.162929745889386
71,2,39.162929745889386
71,53,25.710014947683106
71,22,38.56502242152467
71,3,41.70403587443946
71,24,39.31240657698057
71,21,30.194319880418536
71,61,31.53961136023916
71,72,26.905829596412556
71,15,36.62182361733931
71,52,29.74588938714499
57,4,27.95216741405082
57,18,36.47234678624813
57,39,35.57548579970104
57,9,88.34080717488789
57,62,70.254110612855
57,7,25.56053811659193
57,37,36.02391629297459
57,71,38.41554559043348
57,47,35.57548579970104
57,76,43.49775784753363
57,16,46.63677130044843
57,28,45.73991031390135
57,42,42.600896860986545
57,27,47.53363228699551
57,49,35.276532137518686
57,25,35.57548579970104
57,44,28.101644245142005
57,70,32.436472346786246
57,58,35.72496263079223
57,12,42.600896860986545
57,33,47.23467862481316
57,73,35.42600896860987
57,60,32.585949177877424
57,64,46.78624813153961
57,68,46.18834080717489
57,38,36.92077727952167
57,30,46.038863976083704
57,2,46.48729446935725
57,53,32.436472346786246
57,22,47.08520179372198
57,3,41.4050822122571
57,24,47.08520179372198
57,21,34.97757847533632
57,61,36.62182361733931
57,72,33.18385650224215
57,15,42.89985052316891
57,52,34.97757847533632
47,4,24.663677130044842
47,18,63.67713004484305
47,39,63.22869955156951
47,9,35.57548579970104
47,62,36.771300448430495
47,7,22.421524663677133
47,37,81.31539611360239
47,71,30.194319880418536
47,57,35.57548579970104
47,76,33.6322869955157
47,16,38.86397608370702
47,28,37.219730941704036
47,42,34.08071748878923
47,27,35.874439461883405
47,49,63.52765321375187
47,25,63.97608370702541
47,44,56.20328849028401
47,70,31.53961136023916
47,58,62.92974588938714
47,12,34.08071748878923
47,33,37.369207772795214
47,73,84.90284005979073
47,60,30.493273542600896
47,64,38.11659192825112
47,68,37.81763826606876
47,38,65.76980568011959
47,30,38.2660687593423
47,2,37.81763826606876
47,53,29.895366218236173
47,22,34.97757847533632
47,3,33.33333333333333
47,24,37.96711509715994
47,21,61.285500747384155
47,61,76.98056801195816
47,72,31.2406576980568
47,15,35.42600896860987
47,52,62.63079222720478
76,4,26.606875934230196
76,18,34.08071748878923
76,39,35.42600896860987
76,9,43.34828101644245
76,62,43.19880418535127
76,7,24.364723467862483
76,37,34.23019431988042
76,71,40.20926756352765
76,57,43.49775784753363
76,47,33.6322869955157
76,16,39.91031390134529
76,28,37.369207772795214
76,42,56.20328849028401
76,27,40.35874439461883
76,49,33.931240657698055
76,25,33.78176382660688
76,44,27.204783258594915
76,70,30.194319880418536
76,58,34.52914798206278
76,12,40.95665171898356
76,33,40.50822122571002
76,73,34.97757847533632
76,60,30.04484304932735
76,64,40.35874439461883
76,68,40.35874439461883
76,38,34.52914798206278
76,30,40.35874439461883
76,2,40.059790732436475
76,53,29.297458893871447
76,22,40.80717488789238
76,3,39.162929745889386
76,24,41.4050822122571
76,21,34.08071748878923
76,61,35.42600896860987
76,72,31.09118086696562
76,15,56.65171898355755
76,52,34.52914798206278
16,4,29.596412556053814
16,18,35.57548579970104
16,39,38.2660687593423
16,9,47.53363228699551
16,62,47.832585949177876
16,7,27.802690582959645
16,37,37.07025411061286
16,71,39.01345291479821
16,57,46.63677130044843
16,47,38.86397608370702
16,76,39.91031390134529
16,28,64.42451420029896
16,42,41.106128550074736
16,27,50.224215246636774
16,49,38.714499252615845
16,25,37.219730941704036
16,44,27.50373692077728
16,70,35.57548579970104
16,58,34.82810164424514
16,12,42.30194319880419
16,33,69.80568011958147
16,73,37.369207772795214
16,60,34.67862481315397
16,64,82.95964125560538
16,68,84.00597907324364
16,38,37.07025411061286
16,30,85.79970104633782
16,2,85.35127055306427
16,53,34.379671150971596
16,22,48.729446935724965
16,3,42.45142002989537
16,24,79.82062780269058
16,21,35.276532137518686
16,61,37.66816143497758
16,72,34.23019431988042
16,15,41.4050822122571
16,52,36.173393124065775
28,4,30.94170403587444
28,18,35.874439461883405
28,39,37.66816143497758
28,9,46.63677130044843
28,62,47.23467862481316
28,7,28.84902840059791
28,37,36.02391629297459
28,71,36.771300448430495
28,57,45.73991031390135
28,47,37.219730941704036
28,76,37.369207772795214
28,16,64.42451420029896
28,42,41.85351270553064
28,27,48.729446935724965
28,49,38.11659192825112
28,25,36.771300448430495
28,44,28.101644245142005
28,70,34.52914798206278
28,58,35.42600896860987
28,12,41.25560538116592
28,33,60.53811659192825
28,73,35.276532137518686
28,60,34.23019431988042
28,64,65.17189835575485
28,68,64.12556053811659
28,38,37.81763826606876
28,30,63.67713004484305
28,2,63.82660687593423
28,53,33.03437967115097
28,22,47.53363228699551
28,3,40.50822122571002
28,24,65.32137518684604
28,21,37.07025411061286
28,61,36.771300448430495
28,72,34.379671150971596
28,15,42.00298953662182
28,52,36.47234678624813
42,4,26.905829596412556
42,18,33.6322869955157
42,39,34.97757847533632
42,9,42.45142002989537
